,date,business loan,isPartial
0,2016-01-03,4.632352941176471,False
1,2016-01-10,4.11764705882353,False
2,2016-01-17,4.632352941176471,False
3,2016-01-24,4.338235294117647,False
4,2016-01-31,5.147058823529412,False
5,2016-02-07,5.294117647058823,False
6,2016-02-14,5.294117647058823,False
7,2016-02-21,4.852941176470589,False
8,2016-02-28,5.147058823529412,False
9,2016-03-06,5.073529411764706,False
10,2016-03-13,4.926470588235294,False
11,2016-03-20,5.220588235294118,False
12,2016-03-27,4.926470588235294,False
13,2016-04-03,5.4411764705882355,False
14,2016-04-10,5.8088235294117645,False
15,2016-04-17,4.926470588235294,False
16,2016-04-24,5.147058823529412,False
17,2016-05-01,5.073529411764706,False
18,2016-05-08,5.294117647058823,False
19,2016-05-15,5.0,False
20,2016-05-22,4.852941176470589,False
21,2016-05-29,4.411764705882353,False
22,2016-06-05,4.705882352941177,False
23,2016-06-12,4.264705882352941,False
24,2016-06-19,4.411764705882353,False
25,2016-06-26,4.485294117647059,False
26,2016-07-03,4.411764705882353,False
27,2016-07-10,4.852941176470589,False
28,2016-07-17,5.294117647058823,False
29,2016-07-24,4.485294117647059,False
30,2016-07-31,4.632352941176471,False
31,2016-08-07,4.264705882352941,False
32,2016-08-14,4.11764705882353,False
33,2016-08-21,4.485294117647059,False
34,2016-08-28,3.8970588235294117,False
35,2016-09-04,4.485294117647059,False
36,2016-09-11,5.588235294117648,False
37,2016-09-18,4.1911764705882355,False
38,2016-09-25,4.926470588235294,False
39,2016-10-02,4.926470588235294,False
40,2016-10-09,5.0,False
41,2016-10-16,5.147058823529412,False
42,2016-10-23,5.147058823529412,False
43,2016-10-30,5.220588235294118,False
44,2016-11-06,4.338235294117647,False
45,2016-11-13,5.0,False
46,2016-11-20,4.411764705882353,False
47,2016-11-27,5.36764705882353,False
48,2016-12-04,5.073529411764706,False
49,2016-12-11,4.852941176470589,False
50,2016-12-18,4.11764705882353,False
51,2016-12-25,4.1911764705882355,False
52,2017-01-01,5.4411764705882355,False
53,2017-01-08,5.514705882352941,False
54,2017-01-15,5.661764705882353,False
55,2017-01-22,6.25,False
56,2017-01-29,6.323529411764706,False
57,2017-02-05,5.735294117647059,False
58,2017-02-12,5.514705882352941,False
59,2017-02-19,5.4411764705882355,False
60,2017-02-26,5.8088235294117645,False
61,2017-03-05,6.176470588235294,False
62,2017-03-12,5.882352941176471,False
63,2017-03-19,5.955882352941177,False
64,2017-03-26,5.882352941176471,False
65,2017-04-02,6.323529411764706,False
66,2017-04-09,5.661764705882353,False
67,2017-04-16,5.588235294117648,False
68,2017-04-23,6.029411764705882,False
69,2017-04-30,5.8088235294117645,False
70,2017-05-07,5.882352941176471,False
71,2017-05-14,5.588235294117648,False
72,2017-05-21,5.735294117647059,False
73,2017-05-28,5.220588235294118,False
74,2017-06-04,6.25,False
75,2017-06-11,5.36764705882353,False
76,2017-06-18,5.514705882352941,False
77,2017-06-25,5.4411764705882355,False
78,2017-07-02,5.514705882352941,False
79,2017-07-09,6.470588235294118,False
80,2017-07-16,5.4411764705882355,False
81,2017-07-23,5.514705882352941,False
82,2017-07-30,5.735294117647059,False
83,2017-08-06,5.735294117647059,False
84,2017-08-13,5.36764705882353,False
85,2017-08-20,5.8088235294117645,False
86,2017-08-27,5.8088235294117645,False
87,2017-09-03,5.735294117647059,False
88,2017-09-10,6.25,False
89,2017-09-17,5.8088235294117645,False
90,2017-09-24,6.61764705882353,False
91,2017-10-01,7.352941176470589,False
92,2017-10-08,6.397058823529412,False
93,2017-10-15,5.8088235294117645,False
94,2017-10-22,6.176470588235294,False
95,2017-10-29,5.514705882352941,False
96,2017-11-05,5.514705882352941,False
97,2017-11-12,5.4411764705882355,False
98,2017-11-19,4.5588235294117645,False
99,2017-11-26,4.705882352941177,False
100,2017-12-03,5.073529411764706,False
101,2017-12-10,5.073529411764706,False
102,2017-12-17,5.0,False
103,2017-12-24,4.705882352941177,False
104,2017-12-31,4.705882352941177,False
105,2018-01-07,5.514705882352941,False
106,2018-01-14,5.294117647058823,False
107,2018-01-21,5.073529411764706,False
108,2018-01-28,5.8088235294117645,False
109,2018-02-04,5.661764705882353,False
110,2018-02-11,5.147058823529412,False
111,2018-02-18,5.073529411764706,False
112,2018-02-25,5.735294117647059,False
113,2018-03-04,5.514705882352941,False
114,2018-03-11,5.4411764705882355,False
115,2018-03-18,4.705882352941177,False
116,2018-03-25,4.852941176470589,False
117,2018-04-01,5.588235294117648,False
118,2018-04-08,5.294117647058823,False
119,2018-04-15,5.220588235294118,False
120,2018-04-22,5.36764705882353,False
121,2018-04-29,5.220588235294118,False
122,2018-05-06,4.926470588235294,False
123,2018-05-13,5.36764705882353,False
124,2018-05-20,5.4411764705882355,False
125,2018-05-27,5.735294117647059,False
126,2018-06-03,5.8088235294117645,False
127,2018-06-10,5.955882352941177,False
128,2018-06-17,6.102941176470589,False
129,2018-06-24,5.661764705882353,False
130,2018-07-01,6.029411764705882,False
131,2018-07-08,5.588235294117648,False
132,2018-07-15,6.102941176470589,False
133,2018-07-22,5.588235294117648,False
134,2018-07-29,5.4411764705882355,False
135,2018-08-05,5.882352941176471,False
136,2018-08-12,5.8088235294117645,False
137,2018-08-19,5.735294117647059,False
138,2018-08-26,5.735294117647059,False
139,2018-09-02,5.661764705882353,False
140,2018-09-09,5.36764705882353,False
141,2018-09-16,5.8088235294117645,False
142,2018-09-23,5.220588235294118,False
143,2018-09-30,4.852941176470589,False
144,2018-10-07,5.882352941176471,False
145,2018-10-14,5.661764705882353,False
146,2018-10-21,5.36764705882353,False
147,2018-10-28,5.36764705882353,False
148,2018-11-04,5.073529411764706,False
149,2018-11-11,4.926470588235294,False
150,2018-11-18,4.1911764705882355,False
151,2018-11-25,5.36764705882353,False
152,2018-12-02,5.514705882352941,False
153,2018-12-09,5.514705882352941,False
154,2018-12-16,5.0,False
155,2018-12-23,4.411764705882353,False
156,2018-12-30,4.852941176470589,False
157,2019-01-06,5.294117647058823,False
158,2019-01-13,5.294117647058823,False
159,2019-01-20,5.220588235294118,False
160,2019-01-27,5.588235294117648,False
161,2019-02-03,5.588235294117648,False
162,2019-02-10,5.4411764705882355,False
163,2019-02-17,5.294117647058823,False
164,2019-02-24,5.514705882352941,False
165,2019-03-03,5.36764705882353,False
166,2019-03-10,5.220588235294118,False
167,2019-03-17,5.220588235294118,False
168,2019-03-24,5.661764705882353,False
169,2019-03-31,5.735294117647059,False
170,2019-04-07,6.25,False
171,2019-04-14,5.514705882352941,False
172,2019-04-21,6.029411764705882,False
173,2019-04-28,5.882352941176471,False
174,2019-05-05,5.8088235294117645,False
175,2019-05-12,5.661764705882353,False
176,2019-05-19,5.147058823529412,False
177,2019-05-26,5.36764705882353,False
178,2019-06-02,5.882352941176471,False
179,2019-06-09,5.147058823529412,False
180,2019-06-16,5.588235294117648,False
181,2019-06-23,5.514705882352941,False
182,2019-06-30,5.4411764705882355,False
183,2019-07-07,5.8088235294117645,False
184,2019-07-14,6.102941176470589,False
185,2019-07-21,5.8088235294117645,False
186,2019-07-28,5.735294117647059,False
187,2019-08-04,5.4411764705882355,False
188,2019-08-11,5.514705882352941,False
189,2019-08-18,5.955882352941177,False
190,2019-08-25,5.073529411764706,False
191,2019-09-01,5.073529411764706,False
192,2019-09-08,5.294117647058823,False
193,2019-09-15,5.36764705882353,False
194,2019-09-22,5.147058823529412,False
195,2019-09-29,5.882352941176471,False
196,2019-10-06,5.36764705882353,False
197,2019-10-13,4.926470588235294,False
198,2019-10-20,5.588235294117648,False
199,2019-10-27,5.294117647058823,False
200,2019-11-03,5.661764705882353,False
201,2019-11-10,5.588235294117648,False
202,2019-11-17,5.661764705882353,False
203,2019-11-24,3.8970588235294117,False
204,2019-12-01,5.0,False
205,2019-12-08,4.926470588235294,False
206,2019-12-15,5.955882352941177,False
207,2019-12-22,4.5588235294117645,False
208,2019-12-29,5.4411764705882355,False
