TIME,CLI,BCI,CCI,Employment Rate,CPI,LTI Rate,PPI,STI Rate,Unemployment Rate
2015-01-01,100.7341,100.1838,101.1536,148145.0,98.60348,1.88,99.70358,0.16,5.7
2015-02-01,100.6263,99.96487,101.1561,148045.0,99.03172,1.98,99.91916,0.15,5.5
2015-03-01,100.5192,99.81478,101.0509,148128.0,99.62112,2.04,100.3503,0.14,5.4
2015-04-01,100.4155,99.77403,100.9912,148511.0,99.82364,1.94,100.0808,0.13,5.4
2015-05-01,100.306,99.83573,100.9036,148817.0,100.3325,2.2,101.4282,0.15,5.6
2015-06-01,100.1854,99.82719,100.919,148816.0,100.6839,2.36,101.8054,0.18,5.3
2015-07-01,100.0246,99.68916,100.794,148830.0,100.6907,2.32,101.5899,0.19,5.2
2015-08-01,99.83616,99.48445,100.5875,149181.0,100.5481,2.17,100.7815,0.26,5.1
2015-09-01,99.65201,99.26313,100.4014,148826.0,100.3915,2.17,99.32632,0.27,5.0
2015-10-01,99.5022,99.06262,100.4333,149246.0,100.3464,2.07,99.00297,0.25,5.0
2015-11-01,99.37836,98.90176,100.5603,149463.0,100.1346,2.26,98.57182,0.3,5.1
2015-12-01,99.26859,98.84485,100.666,150128.0,99.79242,2.24,97.44004,0.54,5.0
2016-01-01,99.17516,98.93525,100.6803,150653.0,99.95739,2.09,96.84721,0.57,4.8
2016-02-01,99.11293,99.16135,100.6396,150939.0,100.0397,1.78,96.30827,0.54,4.9
2016-03-01,99.09349,99.41161,100.5962,151218.0,100.4704,1.89,96.63164,0.55,5.0
2016-04-01,99.09881,99.54399,100.6202,151074.0,100.9468,1.81,97.27836,0.55,5.1
2016-05-01,99.11518,99.65857,100.7536,151132.0,101.3552,1.81,98.03288,0.57,4.8
2016-06-01,99.13049,99.73778,100.7296,151223.0,101.6881,1.64,98.94907,0.55,4.9
2016-07-01,99.15582,99.64552,100.5697,151554.0,101.5235,1.5,98.84129,0.62,4.8
2016-08-01,99.20608,99.47982,100.4543,151779.0,101.6168,1.56,98.35624,0.73,4.9
2016-09-01,99.29345,99.52879,100.4334,151761.0,101.861,1.63,98.62571,0.75,5.0
2016-10-01,99.41717,99.7088,100.5172,151793.0,101.988,1.76,99.00297,0.72,4.9
2016-11-01,99.55683,99.99296,100.8759,151954.0,101.8294,2.14,98.7335,0.71,4.7
2016-12-01,99.69128,100.322,101.2436,152157.0,101.8627,2.49,99.11075,0.87,4.7
2017-01-01,99.79819,100.6155,101.4051,152152.0,102.4564,2.43,100.0269,0.9,4.7
2017-02-01,99.8688,100.7842,101.3917,152480.0,102.7787,2.42,100.3503,0.87,4.6
2017-03-01,99.91044,100.7318,101.3584,153065.0,102.8622,2.48,100.6198,0.98,4.4
2017-04-01,99.93514,100.5723,101.3152,153255.0,103.1673,2.3,101.1048,1.03,4.4
2017-05-01,99.9642,100.5694,101.2377,153069.0,103.2555,2.3,100.9431,1.05,4.4
2017-06-01,100.0061,100.7503,101.1224,153318.0,103.3491,2.19,101.1048,1.16,4.3
2017-07-01,100.0577,100.931,101.0777,153569.0,103.2778,2.32,100.9431,1.22,4.3
2017-08-01,100.1367,101.1946,101.1828,153503.0,103.5871,2.21,101.536,1.25,4.4
2017-09-01,100.2354,101.3703,101.3144,154286.0,104.1356,2.2,102.1827,1.25,4.3
2017-10-01,100.3407,101.3374,101.4774,153609.0,104.0697,2.36,102.5061,1.26,4.2
2017-11-01,100.4381,101.3043,101.4555,153805.0,104.0723,2.35,103.045,1.32,4.2
2017-12-01,100.529,101.3645,101.3656,153904.0,104.0111,2.4,103.0989,1.54,4.1
2018-01-01,100.6252,101.4155,101.3975,154493.0,104.5777,2.58,103.7995,1.63,4.0
2018-02-01,100.7221,101.44,101.5712,155259.0,105.052,2.86,104.2846,1.78,4.1
2018-03-01,100.7901,101.3183,101.679,155303.0,105.2895,2.84,104.554,2.08,4.0
2018-04-01,100.8186,101.1903,101.6248,155362.0,105.708,2.87,105.2546,2.2,4.0
2018-05-01,100.8149,101.2362,101.5332,155694.0,106.1477,2.98,106.5481,2.16,3.8
2018-06-01,100.7853,101.3499,101.4714,155734.0,106.3168,2.91,106.9254,2.19,4.0
2018-07-01,100.7319,101.411,101.4379,156115.0,106.324,2.89,106.9792,2.17,3.8
2018-08-01,100.6522,101.5127,101.4499,155512.0,106.3831,2.89,107.0331,2.19,3.8
2018-09-01,100.5264,101.4229,101.5387,155970.0,106.5067,3.0,107.1948,2.24,3.7
2018-10-01,100.3556,101.2101,101.5197,156294.0,106.6949,3.15,108.0032,2.37,3.8
2018-11-01,100.165,100.9921,101.4034,156606.0,106.3375,3.12,106.9254,2.56,3.8
2018-12-01,99.98415,100.6714,101.2219,156767.0,105.9979,2.83,105.2008,2.69,3.9
2019-01-01,99.83345,100.5171,101.0046,156614.0,106.2,2.71,104.7157,2.59,4.0
2019-02-01,99.71949,100.349,101.0623,156992.0,106.6489,2.68,105.3085,2.49,3.8
2019-03-01,99.63438,100.2145,101.2942,156869.0,107.2505,2.57,106.3864,2.48,3.8
2019-04-01,99.54892,99.98872,101.4642,156744.0,107.8184,2.53,107.3565,2.47,3.6
2019-05-01,99.45628,99.7813,101.5577,156868.0,108.0479,2.4,107.3026,2.44,3.6
2019-06-01,99.36113,99.59437,101.458,157123.0,108.0695,2.07,106.1708,2.3,3.6
2019-07-01,99.26967,99.37057,101.2113,157488.0,108.25,2.06,106.4403,2.22,3.7
2019-08-01,99.19348,99.08913,100.8964,157780.0,108.2446,1.63,105.8475,2.06,3.7
2019-09-01,99.16139,98.87601,100.8964,158249.0,108.3294,1.7,105.578,2.03,3.5
2019-10-01,99.16303,98.80801,101.1121,158356.0,108.577,1.71,105.9553,1.88,3.6
2019-11-01,99.16946,98.83024,101.3979,158504.0,108.5188,1.81,105.9014,1.77,3.6
2019-12-01,99.15331,98.93793,101.6401,158772.0,108.4201,1.86,105.8475,1.76,3.6
2020-01-01,99.08413,99.10866,101.6384,158653.0,108.8407,1.76,105.9553,1.65,3.5
2020-02-01,98.9482,98.99007,101.1832,158866.0,109.139,1.5,105.1469,1.59,3.5
2020-03-01,97.10266,98.57024,100.122,155599.0,108.9015,0.87,103.6378,1.35,4.4
2020-05-01,93.84934,98.35764,98.43596,137182.0,108.1754,0.67,101.8054,0.17,13.2
2020-06-01,95.74485,99.23257,98.38302,142218.0,108.7673,0.73,102.5061,0.2,11.0
2020-07-01,97.33426,99.99034,98.40141,143727.0,109.3175,0.62,103.6378,0.18,10.2
2020-08-01,98.08031,100.485,98.616,147176.0,109.6622,0.65,104.0151,0.15,8.4
2020-09-01,98.31633,100.7797,98.94821,147569.0,109.8149,0.68,103.9612,0.13,7.9
2020-10-01,98.69859,101.0607,99.10635,149719.0,109.8605,0.79,104.3923,0.12,6.9
2020-11-01,99.08549,101.2068,99.06053,149761.0,109.7934,0.87,104.8235,0.16,6.7
2020-12-01,99.48365,101.3946,99.06379,149883.0,109.8968,0.93,106.0092,0.17,6.7
2021-01-01,99.72419,101.5434,99.07027,150004.0,110.3642,1.08,107.5721,0.14,6.4
2021-02-01,100.0847,101.8094,99.2187,150367.0,110.9684,1.26,109.4584,0.11,6.2
2021-03-01,100.3736,102.0272,99.60821,150940.0,111.7544,1.61,112.0453,0.1,6.0
2021-04-01,100.5675,101.9219,99.868,151259.0,112.6729,1.64,113.2309,0.11,6.0
2021-05-01,100.6278,101.7776,99.80549,151550.0,113.5762,1.62,115.9256,0.1,5.8
2021-06-01,100.6043,101.6332,99.58214,151612.0,114.6314,1.52,117.4347,0.09,5.9
2021-07-01,100.5178,101.5404,99.08414,152704.0,115.1829,1.32,118.2926,0.1,5.4
2021-08-01,100.4025,101.5719,98.47887,153167.0,115.4208,1.28,118.6279,0.1,5.2
2021-09-01,100.2966,101.6642,98.162,153806.0,115.7343,1.37,119.5737,0.1,4.7
2021-10-01,100.2093,101.6768,97.96647,154234.0,116.6958,1.58,121.5187,0.11,4.6
2021-11-01,100.1425,101.5727,97.79956,155324.0,117.2692,1.56,122.3853,0.14,4.2
2021-12-01,100.0885,101.3378,97.69759,155975.0,117.6295,1.47,122.0755,0.17,3.9
2022-01-01,100.0464,101.1531,97.44188,157174.0,118.6193,1.76,124.5713,0.22,4.0
2022-02-01,100.0149,101.0839,97.07075,157722.0,119.7028,1.93,127.6438,0.38,3.8
